t,P(t)
0.0,1.0
1.0,0.0
2.0,0.07087
3.0,0.02435
4.0,0.02074
5.0,0.01297
6.0,0.01082
7.0,0.00819
8.0,0.00714
9.0,0.0057
10.0,0.00495
11.0,0.00428
12.0,0.00391
13.0,0.00344
14.0,0.00326
15.0,0.00281
16.0,0.00238
17.0,0.00249
18.0,0.00247
19.0,0.00224
20.0,0.00226
21.0,0.00209
22.0,0.00198
23.0,0.00207
24.0,0.00204
25.0,0.00202
26.0,0.00167
27.0,0.00204
28.0,0.00179
29.0,0.00145
30.0,0.0017
31.0,0.00158
32.0,0.00145
33.0,0.0016
34.0,0.00135
35.0,0.00163
36.0,0.00138
37.0,0.00151
38.0,0.00149
39.0,0.00153
40.0,0.00149
41.0,0.00137
42.0,0.00161
43.0,0.00158
44.0,0.00143
45.0,0.00116
46.0,0.00128
47.0,0.00116
48.0,0.00121
49.0,0.00127
50.0,0.00145
51.0,0.00121
52.0,0.0011
53.0,0.00116
54.0,0.00112
55.0,0.00109
56.0,0.00124
57.0,0.00123
58.0,0.00137
59.0,0.00126
60.0,0.00091
61.0,0.00124
62.0,0.0011
63.0,0.00116
64.0,0.00113
65.0,0.00108
66.0,0.0013
67.0,0.00101
68.0,0.001
69.0,0.00101
70.0,0.00103
71.0,0.00102
72.0,0.00114
73.0,0.00094
74.0,0.00103
75.0,0.0011
76.0,0.00089
77.0,0.00089
78.0,0.00098
79.0,0.0009
80.0,0.00105
81.0,0.00107
82.0,0.00106
83.0,0.00088
84.0,0.00084
85.0,0.00104
86.0,0.00104
87.0,0.00097
88.0,0.00094
89.0,0.0009
90.0,0.00092
91.0,0.00082
92.0,0.00088
93.0,0.00086
94.0,0.00086
95.0,0.00075
96.0,0.00095
97.0,0.00076
98.0,0.00085
99.0,0.00089
100.0,0.00095
101.0,0.00078
102.0,0.00092
103.0,0.00087
104.0,0.00081
105.0,0.00086
106.0,0.00082
107.0,0.00095
108.0,0.00091
109.0,0.00086
110.0,0.00086
111.0,0.00088
112.0,0.00095
113.0,0.00082
114.0,0.00106
115.0,0.00072
116.0,0.00088
117.0,0.00069
118.0,0.00078
119.0,0.00063
120.0,0.00081
121.0,0.00075
122.0,0.00073
123.0,0.00094
124.0,0.00087
