t,P(t)
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,7.256999611854553223e-02
3.000000000000000000e+00,2.489999867975711823e-02
4.000000000000000000e+00,2.306499890983104706e-02
5.000000000000000000e+00,1.501999981701374054e-02
6.000000000000000000e+00,1.277999952435493469e-02
7.000000000000000000e+00,9.765000082552433014e-03
8.000000000000000000e+00,7.809999864548444748e-03
9.000000000000000000e+00,6.819999776780605316e-03
1.000000000000000000e+01,5.859999917447566986e-03
1.100000000000000000e+01,5.189999938011169434e-03
1.200000000000000000e+01,4.865000024437904358e-03
1.300000000000000000e+01,4.325000103563070297e-03
1.400000000000000000e+01,4.094999749213457108e-03
1.500000000000000000e+01,3.784999949857592583e-03
1.600000000000000000e+01,3.275000024586915970e-03
1.700000000000000000e+01,3.099999856203794479e-03
1.800000000000000000e+01,2.979999873787164688e-03
1.900000000000000000e+01,2.684999955818057060e-03
2.000000000000000000e+01,2.630000002682209015e-03
2.100000000000000000e+01,2.414999995380640030e-03
2.200000000000000000e+01,2.404999919235706329e-03
2.300000000000000000e+01,2.224999945610761642e-03
2.400000000000000000e+01,2.325000008568167686e-03
2.500000000000000000e+01,2.224999945610761642e-03
2.600000000000000000e+01,2.025000052526593208e-03
2.700000000000000000e+01,1.929999911226332188e-03
2.800000000000000000e+01,1.899999915622174740e-03
2.900000000000000000e+01,1.779999933205544949e-03
3.000000000000000000e+01,1.769999973475933075e-03
3.100000000000000000e+01,1.809999928809702396e-03
3.200000000000000000e+01,1.709999982267618179e-03
3.300000000000000000e+01,1.634999993257224560e-03
3.400000000000000000e+01,1.624999917112290859e-03
3.500000000000000000e+01,1.545000006444752216e-03
3.600000000000000000e+01,1.669999910518527031e-03
3.700000000000000000e+01,1.455000019632279873e-03
3.800000000000000000e+01,1.424999907612800598e-03
3.900000000000000000e+01,1.324999961070716381e-03
4.000000000000000000e+01,1.624999917112290859e-03
4.100000000000000000e+01,1.334999920800328255e-03
4.200000000000000000e+01,1.424999907612800598e-03
4.300000000000000000e+01,1.470000017434358597e-03
4.400000000000000000e+01,1.479999977163970470e-03
4.500000000000000000e+01,1.364999916404485703e-03
4.600000000000000000e+01,1.404999988153576851e-03
4.700000000000000000e+01,1.504999934695661068e-03
4.800000000000000000e+01,1.285000005736947060e-03
4.900000000000000000e+01,1.240000012330710888e-03
5.000000000000000000e+01,1.259999931789934635e-03
5.100000000000000000e+01,1.244999933987855911e-03
5.200000000000000000e+01,1.379999914206564426e-03
5.300000000000000000e+01,1.195000018924474716e-03
5.400000000000000000e+01,1.344999996945261955e-03
5.500000000000000000e+01,1.169999944977462292e-03
5.600000000000000000e+01,1.300000003539025784e-03
5.700000000000000000e+01,1.135000027716159821e-03
5.800000000000000000e+01,1.329999999143183231e-03
5.900000000000000000e+01,1.094999955967068672e-03
6.000000000000000000e+01,1.354999956674873829e-03
6.100000000000000000e+01,1.189999980852007866e-03
6.200000000000000000e+01,1.399999950081110001e-03
6.300000000000000000e+01,1.279999967664480209e-03
6.400000000000000000e+01,1.169999944977462292e-03
6.500000000000000000e+01,1.354999956674873829e-03
6.600000000000000000e+01,1.174999983049929142e-03
6.700000000000000000e+01,1.219999976456165314e-03
6.800000000000000000e+01,1.180000021122395992e-03
6.900000000000000000e+01,1.304999925196170807e-03
7.000000000000000000e+01,1.119999913498759270e-03
7.100000000000000000e+01,1.300000003539025784e-03
7.200000000000000000e+01,1.339999958872795105e-03
7.300000000000000000e+01,1.285000005736947060e-03
7.400000000000000000e+01,1.074999920092523098e-03
7.500000000000000000e+01,1.225000014528632164e-03
7.600000000000000000e+01,1.274999929592013359e-03
7.700000000000000000e+01,1.109999953769147396e-03
7.800000000000000000e+01,1.424999907612800598e-03
7.900000000000000000e+01,1.165000023320317268e-03
8.000000000000000000e+01,1.199999940581619740e-03
8.100000000000000000e+01,1.124999951571226120e-03
8.200000000000000000e+01,1.195000018924474716e-03
8.300000000000000000e+01,1.195000018924474716e-03
8.400000000000000000e+01,1.109999953769147396e-03
8.500000000000000000e+01,1.225000014528632164e-03
8.600000000000000000e+01,1.204999978654086590e-03
8.700000000000000000e+01,1.029999926686286926e-03
8.800000000000000000e+01,1.234999974258244038e-03
8.900000000000000000e+01,1.154999947175383568e-03
9.000000000000000000e+01,1.144999987445771694e-03
9.100000000000000000e+01,1.219999976456165314e-03
9.200000000000000000e+01,1.139999949373304844e-03
9.300000000000000000e+01,1.180000021122395992e-03
9.400000000000000000e+01,1.199999940581619740e-03
9.500000000000000000e+01,1.219999976456165314e-03
9.600000000000000000e+01,1.139999949373304844e-03
9.700000000000000000e+01,1.195000018924474716e-03
9.800000000000000000e+01,1.174999983049929142e-03
9.900000000000000000e+01,1.300000003539025784e-03
1.000000000000000000e+02,1.124999951571226120e-03
1.010000000000000000e+02,1.154999947175383568e-03
1.020000000000000000e+02,1.135000027716159821e-03
1.030000000000000000e+02,1.150000025518238544e-03
1.040000000000000000e+02,1.104999915696680546e-03
1.050000000000000000e+02,1.240000012330710888e-03
1.060000000000000000e+02,1.074999920092523098e-03
1.070000000000000000e+02,1.270000007934868336e-03
1.080000000000000000e+02,1.300000003539025784e-03
1.090000000000000000e+02,1.234999974258244038e-03
1.100000000000000000e+02,1.285000005736947060e-03
1.110000000000000000e+02,1.184999942779541016e-03
1.120000000000000000e+02,1.289999927394092083e-03
1.130000000000000000e+02,1.174999983049929142e-03
1.140000000000000000e+02,1.189999980852007866e-03
1.150000000000000000e+02,1.199999940581619740e-03
1.160000000000000000e+02,1.244999933987855911e-03
1.170000000000000000e+02,1.154999947175383568e-03
1.180000000000000000e+02,1.129999989643692970e-03
1.190000000000000000e+02,1.139999949373304844e-03
1.200000000000000000e+02,1.195000018924474716e-03
1.210000000000000000e+02,1.279999967664480209e-03
1.220000000000000000e+02,1.214999938383698463e-03
1.230000000000000000e+02,1.189999980852007866e-03
1.240000000000000000e+02,1.300000003539025784e-03
1.250000000000000000e+02,1.074999920092523098e-03
1.260000000000000000e+02,1.300000003539025784e-03
1.270000000000000000e+02,1.210000016726553440e-03
1.280000000000000000e+02,1.195000018924474716e-03
1.290000000000000000e+02,1.199999940581619740e-03
1.300000000000000000e+02,1.135000027716159821e-03
1.310000000000000000e+02,1.210000016726553440e-03
1.320000000000000000e+02,1.135000027716159821e-03
1.330000000000000000e+02,1.334999920800328255e-03
1.340000000000000000e+02,1.210000016726553440e-03
1.350000000000000000e+02,1.169999944977462292e-03
1.360000000000000000e+02,1.279999967664480209e-03
1.370000000000000000e+02,1.214999938383698463e-03
1.380000000000000000e+02,1.259999931789934635e-03
1.390000000000000000e+02,1.189999980852007866e-03
1.400000000000000000e+02,1.259999931789934635e-03
1.410000000000000000e+02,1.150000025518238544e-03
1.420000000000000000e+02,1.144999987445771694e-03
1.430000000000000000e+02,1.199999940581619740e-03
1.440000000000000000e+02,1.159999985247850418e-03
1.450000000000000000e+02,1.244999933987855911e-03
1.460000000000000000e+02,1.189999980852007866e-03
1.470000000000000000e+02,1.195000018924474716e-03
1.480000000000000000e+02,1.255000010132789612e-03
1.490000000000000000e+02,1.014999928884208202e-03
1.500000000000000000e+02,1.084999996237456799e-03
1.510000000000000000e+02,1.114999991841614246e-03
1.520000000000000000e+02,1.104999915696680546e-03
1.530000000000000000e+02,1.174999983049929142e-03
1.540000000000000000e+02,1.114999991841614246e-03
1.550000000000000000e+02,1.319999922998249531e-03
1.560000000000000000e+02,1.180000021122395992e-03
1.570000000000000000e+02,1.249999972060322762e-03
1.580000000000000000e+02,1.119999913498759270e-03
1.590000000000000000e+02,1.255000010132789612e-03
1.600000000000000000e+02,1.150000025518238544e-03
1.610000000000000000e+02,1.139999949373304844e-03
